ajar	ok	instruct;teach
amat	ok	observe
ambil	ok	take
baca	ok	read
bagi	ok	divide
bantu	ok	help
beli	ok	buy
cari	ok	search
catat	ok	note down
dengar	ok	hear
ekspor	ok	export
erang	ok	groan
fitnah	ok	slander
gambar	ok	draw a picture
ganggu	ok	bother
ganti	ok	replace
hilang	ok	lose
hitung	ok	count
isi	ok	fill up
jahit	ok	sew
jual	ok	sell
kaca	ok	become glassy
kan	no-parse	-
karang	ok	author
kayuh	ok	pedal
khawatir	ok	worry
kirim	ok	send
langit	ok	soar skyward
lempar	ok	throw
lihat	ok	see
masak	ok	cook
mebaka	no-parse	-
medengar	no-parse	-
mekaca	no-parse	-
melangit	ok	AV-soar skyward
melempar	ok	AV-throw
melihat	ok	AV-see
memaca	no-parse	-
memakai	ok	AV-use
memasak	ok	AV-cook
membaca	ok	AV-read
membagi-bagi	ok	AV-divide-Cont
membantu	ok	AV-help
membeli	ok	AV-buy
memfitnah	ok	AV-slander
memijit-mijit	ok	AV-massage-Cont
meminta-minta	ok	AV-ask-Cont
memlangit	no-parse	-
memukul	ok	AV-hit
memulis	no-parse	-
menaca	no-parse	-
menakai	no-parse	-
menanti	ok	AV-wait
mencari	ok	AV-search
mencatat	ok	AV-note down
mendengar	ok	AV-hear
mengaca	ok	AV-become glassy
mengaco	ok	AV-chat
mengajar	ok	AV-teach
mengakai	no-parse	-
mengamat-amati	ok	AV-observe-Cont-LOC;AV-observe-Cont-LOC
mengambil	ok	AV-take
menganga	ok	AV-gape
mengarang	ok	AV-author
mengayuh-ngayuh	ok	AV-pedal-Cont
mengekspor	ok	AV-export
mengerang	ok	AV-groan
menggambar	ok	AV-draw a picture
mengganggu	ok	AV-bother
mengganti	ok	AV-replace
menghilang	ok	AV-lose
menghitung	ok	AV-count
mengirim	ok	AV-send
mengisi	ok	AV-fill up
mengkhawatirkan	ok	AV-worry-Caus
menglangit	no-parse	-
mengolah	ok	AV-process
mengulis	no-parse	-
mengundang	ok	AV-invite
mengurus	ok	AV-manage
menikah	ok	AV-marry
menjahit	ok	AV-sew
menjual	ok	AV-sell
menlangit	no-parse	-
mensyaratkan	ok	AV-condition-Caus
menulis	ok	AV-write
menulis-nulis	ok	AV-write-Cont
menyanyi	ok	AV-sing
menyatu	ok	AV-unite
menyewa	ok	AV-lease
menyewa-nyewa	ok	AV-lease-Cont
menziarahi	ok	AV-make a pilgrimage-LOC;AV-make a pilgrimage-LOC
meolah	no-parse	-
mepakai	no-parse	-
merancang	ok	AV-plan
merasa	ok	AV-feel
metulis	no-parse	-
mewakili	ok	AV-proxy-APPL
meyakini	ok	AV-certain-CAUSi
meⁿ	no-parse	-
minta	ok	ask
nanti	ok	wait
ngaco	ok	chat
nganga	ok	gape
nikah	ok	marry
nyanyi	ok	sing
olah	ok	process
pakai	ok	use
pukul	ok	hit
rancang	ok	plan
rasa	ok	feel
satu	ok	unite
sewa	ok	lease
syarat	ok	condition
tulis	ok	write
undang	ok	invite
urus	ok	manage
wakil	ok	proxy
write-CONTpijit	no-parse	-
yakin	ok	certain
ziarah	ok	make a pilgrimage
