diwo	no-parse	-
akhabweka	ok	3S+1-IMP-confessar-IND;3S+1-IMP-3S+1-falar-IND;3P+2-IMP-3S+1-confessar-IND;3P+2-IMP-falar-IND;3P+2-IMP-3S+1-roubar-PAS-NEU-IND;3P+2-IMP-confessar-IND;6-IMP-roubar-PAS-NEU-IND;6-IMP-3S+1-roubar-PAS-NEU-IND;6-IMP-3S+1-confessar-IND;3P+2-IMP-roubar-PAS-NEU-IND;3P+2-IMP-3S+1-falar-IND;6-IMP-3S+1-falar-IND;3S+1-IMP-3S+1-confessar-IND;6-IMP-falar-IND;3S+1-IMP-3S+1-roubar-PAS-NEU-IND;6-IMP-confessar-IND;3S+1-IMP-falar-IND;3S+1-IMP-roubar-PAS-NEU-IND
anango	ok	2-amarrar-acção;6-outra;2-outra
bweka	no-parse	-
kalani	no-parse	-
kukudziwani	SKIPPED_PATHOLOGICAL	-
kuphataniza	ok	INF-ligar-IND;INF-3S+1-ligar-IND
agumana	ok	ele+PST-3S+1-encontrar-IND;ele+PST-encontrar-IND
kapulumuka	ok	PURP-salvar-IND;PURP-3S+1-salvar-IND
ano	ok	2-ter-acção;2-dente
kutawirirwa	ok	INF-responder-APPLIC-PAS-IND;INF-3S+1-responder-APPLIC-PAS-IND
kundisandukira	SKIPPED_PATHOLOGICAL	-
aena	no-parse	-
kutonga	ok	INF-reinar-IND;INF-3S+1-reinar-IND
anyakupipoloza	no-parse	-
kunakhonda	ok	17-NONPST-recusar-IND;15-NONPST-3S+1-recusar-IND;17-NONPST-3S+1-recusar-IND;15-NONPST-recusar-IND
mbaani	no-parse	-
kwawo	ok	15-assocpx-d'eles
ikha	no-parse	-
inalonga	no-parse	-
mphale	ok	18-rapaz;10-rapaz;9-rapaz;10-juventude;1-rapaz;9-juventude;18-juventude
zabuloni	no-parse	-
serves	no-parse	-
wamaso	no-parse	-
